Vulnerability Type,Description,Severity,Exploitability
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Low
Access Control,Unauthorized users could access privileged actions.,Critical,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Medium
Password Security,Passwords stored using weak hashing algorithm.,Medium,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Medium
Access Control,Exploited weak access control rules in API endpoints.,Critical,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Session Management,Reused session ID for unauthorized access.,Low,Critical
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,Critical,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,Low
Access Control,Unauthorized users could access privileged actions.,Low,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Low,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Low
Session Management,Reused session ID for unauthorized access.,Critical,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Low,High
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Low
Session Management,Reused session ID for unauthorized access.,Critical,Medium
Session Management,Session did not expire properly after logout.,Critical,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Critical
Session Management,Session did not expire properly after logout.,Medium,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Low,Low
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Low,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Medium
Session Management,Session did not expire properly after logout.,Low,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Low
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Medium
Session Management,Session fixation vulnerability found in login mechanism.,High,Critical
Reconnaissance,Found outdated software versions during recon phase.,High,Medium
Reconnaissance,Found outdated software versions during recon phase.,Low,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Critical
Session Management,Reused session ID for unauthorized access.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
Access Control,Bypassed access control to access restricted admin resources.,High,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,Low,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,High
Access Control,Exploited weak access control rules in API endpoints.,Medium,High
Session Management,Session fixation vulnerability found in login mechanism.,High,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Low
Password Security,Weak password policy allowing easily guessable passwords.,High,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,High,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Critical
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Medium
Access Control,Exploited weak access control rules in API endpoints.,Low,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Low
Access Control,Unauthorized users could access privileged actions.,High,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
Session Management,Session did not expire properly after logout.,Medium,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,High
Access Control,Exploited weak access control rules in API endpoints.,High,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
Access Control,Exploited weak access control rules in API endpoints.,High,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Critical,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Low,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,High,High
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Password Security,Weak password policy allowing easily guessable passwords.,Low,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Critical
Access Control,Bypassed access control to access restricted admin resources.,Low,Medium
Session Management,Reused session ID for unauthorized access.,Critical,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,Critical
